name,aoa,Cl,Cd,Cn,Cc,aoa_Cl0,Cl_lin_slope,Cl_lin_range,Cd_Cl0,Re
Naca 63816,-0.34906585,-0.567,0.22035,-0.608169855,,-0.1217,6.875493542,-0.113446401,0.02079132,3*10^6
,-0.340339204,-0.576,0.20878,-0.612653695,,,,0.113446401,,
,-0.331612558,-0.583,0.19738,-0.615497972,,,,,,
,-0.322885912,-0.589,0.18915,-0.618580809,,,,,,
,-0.314159265,-0.591,0.17376,-0.615769194,,,,,,
,-0.305432619,-0.593,0.16306,-0.614587239,,,,,,
,-0.296705973,-0.592,0.15324,-0.610935456,,,,,,
,-0.287979327,-0.589,0.14431,-0.605731078,,,,,,
,-0.27925268,-0.584,0.13612,-0.598896587,,,,,,
,-0.270526034,-0.579,0.13244,-0.593335083,,,,,,
,-0.261799388,-0.568,0.12446,-0.580858488,,,,,,
,-0.253072742,-0.553,0.1173,-0.56475522,,,, ,,
,-0.244346095,-0.536,0.11046,-0.546801202,,,,,,
,-0.235619449,-0.515,0.1039,-0.525025482,,,,,,
,-0.226892803,-0.491,0.09736,-0.500316936,,,,,,
,-0.218166156,-0.463,0.09083,-0.471684261,,,,,,
,-0.20943951,-0.432,0.08643,-0.440529571,,,,,,
,-0.200712864,-0.402,0.07762,-0.40940467,,,,,,
,-0.191986218,-0.372,0.06594,-0.377747257,,,,,,
,-0.183259571,-0.358,0.03918,-0.359145245,,,,,,
,-0.174532925,-0.32,0.03143,-0.320596243,,,,,,
,-0.165806279,-0.237,0.06527,-0.244522345,,,,,,
,-0.157079633,-0.192,0.06166,-0.199281911,,,,,,
,-0.148352986,-0.17,0.02448,-0.171751071,,,,,,
,-0.13962634,-0.116,0.02262,-0.118019192,,,,,,
,-0.130899694,-0.06,0.02164,-0.062311278,,,,,,
,-0.122173048,-0.003,0.02083,-0.005516177,,,,,,
,-0.113446401,0.055,0.02014,0.052366539,,,,,,
,-0.104719755,0.114,0.01953,0.111334055,,,,,,
,-0.095993109,0.174,0.01907,0.17137116,,,,,,
,-0.087266463,0.234,0.01865,0.231484105,,,,,,
,-0.078539816,0.295,0.01824,0.29265952,,,,,,
,-0.06981317,0.359,0.01674,0.356957771,,,,,,
,-0.061086524,0.422,0.01634,0.420215352,,,,,,
,-0.052359878,0.486,0.01597,0.484498149,,,,,,
,-0.043633231,0.547,0.01603,0.545780158,,,,,,
,-0.034906585,0.608,0.01613,0.607066694,,,,,,
,-0.026179939,0.669,0.0163,0.668344066,,,,,,
,-0.017453293,0.729,0.01585,0.728612349,,,,,,
,-0.008726646,0.79,0.01608,0.789829597,,,,,,
,0,0.851,0.0163,0.851,,,,,,
,0.008726646,0.911,0.0166,0.911110172,,,,,,
,0.017453293,0.971,0.0169,0.971147058,,,,,,
