name,blades,rad_coord,twist,chord
TGL,3,1.25,0.567232007,1.612
,,2.05,0.404916386,2.271
,,2.45,0.347320521,2.119
,,2.85,0.300196631,1.962
,,3.25,0.260054059,1.813
,,3.65,0.228638132,1.677
,,4.05,0.200712864,1.556
,,4.45,0.178023584,1.447
,,4.85,0.158824962,1.351
,,5.25,0.141371669,1.265
,,5.65,0.125663706,1.189
,,6.05,0.111701072,1.12
,,6.45,0.101229097,1.058
,,6.85,0.090757121,1.003
,,7.25,0.080285146,0.953
,,7.65,0.073303829,0.907
,,8.05,0.064577182,0.865
,,8.45,0.057595865,0.827
,,8.85,0.052359878,0.792
,,9,0.048869219,0.6
